27020.0, {'GS_cluster_357187_359543': -1.1116072}, {'GS_cluster_357187_359543': 14}, {'GS_cluster_357187_359543': 16}, 
27030.0, {'GS_cluster_357187_359543': -1.8169643}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 17}, 
27040.0, {'GS_cluster_357187_359543': -2.6651785}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 21}, 
27050.0, {'GS_cluster_357187_359543': -3.7410715}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 26}, 
27060.0, {'GS_cluster_357187_359543': -3.482143}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 26}, 
27070.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 26}, 
27080.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 22}, 
27090.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 20}, 
27100.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 17}, 
27110.0, {'GS_cluster_357187_359543': -1.1428572}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 9}, 
27120.0, {'GS_cluster_357187_359543': -0.46875}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 7}, 
27130.0, {'GS_cluster_357187_359543': -0.38392857}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 6}, 
27140.0, {'GS_cluster_357187_359543': -0.4107143}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 7}, 
27150.0, {'GS_cluster_357187_359543': -0.19642857}, {'GS_cluster_357187_359543': 2}, {'GS_cluster_357187_359543': 6}, 
27160.0, {'GS_cluster_357187_359543': -0.25892857}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 6}, 
27170.0, {'GS_cluster_357187_359543': -0.38392857}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 9}, 
27180.0, {'GS_cluster_357187_359543': -0.60714287}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 9}, 
27190.0, {'GS_cluster_357187_359543': -1.1473215}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 16}, 
27200.0, {'GS_cluster_357187_359543': -0.51785713}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 10}, 
27210.0, {'GS_cluster_357187_359543': -0.75446427}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 13}, 
27220.0, {'GS_cluster_357187_359543': -1.2008928}, {'GS_cluster_357187_359543': 11}, {'GS_cluster_357187_359543': 13}, 
27230.0, {'GS_cluster_357187_359543': -1.1428572}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 9}, 
27240.0, {'GS_cluster_357187_359543': -0.91964287}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 7}, 
27250.0, {'GS_cluster_357187_359543': -0.53125}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 7}, 
27260.0, {'GS_cluster_357187_359543': -0.23660715}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 5}, 
27270.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
